product,date,city,sales
Dry Iron,04-01-2016,Mumbai,2255126
Dry Iron,05-01-2016,Mumbai,1381925
Dry Iron,06-01-2016,Mumbai,779642
Dry Iron,07-01-2016,Mumbai,1463709
Dry Iron,08-01-2016,Mumbai,1577427
Dry Iron,09-01-2016,Mumbai,2009596
Dry Iron,10-01-2016,Mumbai,2045396
Dry Iron,11-01-2016,Mumbai,863705
Dry Iron,12-01-2016,Mumbai,1142563
Dry Iron,01-01-2017,Mumbai,1543478
Dry Iron,02-01-2017,Mumbai,1429819
Dry Iron,03-01-2017,Mumbai,2225589
Dry Iron,04-01-2017,Mumbai,993482
Dry Iron,05-01-2017,Mumbai,2357459
Dry Iron,06-01-2017,Mumbai,2674488
Dry Iron,07-01-2017,Mumbai,2950628
Dry Iron,08-01-2017,Mumbai,2981664
Dry Iron,09-01-2017,Mumbai,4052633
Dry Iron,10-01-2017,Mumbai,4994130
Dry Iron,11-01-2017,Mumbai,1234741
Dry Iron,12-01-2017,Mumbai,2331333
Dry Iron,01-01-2018,Mumbai,2482511
Dry Iron,02-01-2018,Mumbai,1500296
Dry Iron,03-01-2018,Mumbai,2401173
coolers,04-01-2014,Mumbai,5708207
coolers,05-01-2014,Mumbai,1800665
coolers,06-01-2014,Mumbai,52333
coolers,07-01-2014,Mumbai,0
coolers,08-01-2014,Mumbai,0
coolers,09-01-2014,Mumbai,0
coolers,10-01-2014,Mumbai,7749
coolers,11-01-2014,Mumbai,42085
coolers,12-01-2014,Mumbai,38851
coolers,01-01-2015,Mumbai,823352
coolers,02-01-2015,Mumbai,4503104
coolers,03-01-2015,Mumbai,6719516
coolers,04-01-2015,Mumbai,4092334
coolers,05-01-2015,Mumbai,1290935
coolers,06-01-2015,Mumbai,37519
coolers,07-01-2015,Mumbai,0
coolers,08-01-2015,Mumbai,0
coolers,09-01-2015,Mumbai,0
coolers,10-01-2015,Mumbai,5555
coolers,11-01-2015,Mumbai,30172
coolers,12-01-2015,Mumbai,27853
coolers,01-01-2016,Mumbai,590278
coolers,02-01-2016,Mumbai,3228370
coolers,03-01-2016,Mumbai,4817362
coolers,04-01-2016,Mumbai,6884193
coolers,05-01-2016,Mumbai,2171632
coolers,06-01-2016,Mumbai,63115
coolers,07-01-2016,Mumbai,0
coolers,08-01-2016,Mumbai,0
coolers,09-01-2016,Mumbai,0
coolers,10-01-2016,Mumbai,9345
coolers,11-01-2016,Mumbai,50755
coolers,12-01-2016,Mumbai,46855
coolers,01-01-2017,Mumbai,992976
coolers,02-01-2017,Mumbai,5430818
coolers,03-01-2017,Mumbai,8103847
coolers,04-01-2017,Mumbai,8298204
coolers,05-01-2017,Mumbai,2617685
coolers,06-01-2017,Mumbai,76078
coolers,07-01-2017,Mumbai,0
coolers,08-01-2017,Mumbai,0
coolers,09-01-2017,Mumbai,0
coolers,10-01-2017,Mumbai,11264
coolers,11-01-2017,Mumbai,61180
coolers,12-01-2017,Mumbai,56479
coolers,01-01-2018,Mumbai,1196933
coolers,02-01-2018,Mumbai,6546307
coolers,03-01-2018,Mumbai,9768376
Water Heaters,04-01-2014,Mumbai,12382
Water Heaters,05-01-2014,Mumbai,143939
Water Heaters,06-01-2014,Mumbai,472318
Water Heaters,07-01-2014,Mumbai,922109
Water Heaters,08-01-2014,Mumbai,765103
Water Heaters,09-01-2014,Mumbai,781821
Water Heaters,10-01-2014,Mumbai,2015634
Water Heaters,11-01-2014,Mumbai,1651245
Water Heaters,12-01-2014,Mumbai,1714006
Water Heaters,01-01-2015,Mumbai,557041
Water Heaters,02-01-2015,Mumbai,152313
Water Heaters,03-01-2015,Mumbai,94409
Water Heaters,04-01-2015,Mumbai,13747
Water Heaters,05-01-2015,Mumbai,159817
Water Heaters,06-01-2015,Mumbai,524421
Water Heaters,07-01-2015,Mumbai,1023831
Water Heaters,08-01-2015,Mumbai,849505
Water Heaters,09-01-2015,Mumbai,868067
Water Heaters,10-01-2015,Mumbai,2237987
Water Heaters,11-01-2015,Mumbai,1833401
Water Heaters,12-01-2015,Mumbai,1903086
Water Heaters,01-01-2016,Mumbai,618491
Water Heaters,02-01-2016,Mumbai,169115
Water Heaters,03-01-2016,Mumbai,104824
Water Heaters,04-01-2016,Mumbai,4653
Water Heaters,05-01-2016,Mumbai,54088
Water Heaters,06-01-2016,Mumbai,177483
Water Heaters,07-01-2016,Mumbai,346501
Water Heaters,08-01-2016,Mumbai,287503
Water Heaters,09-01-2016,Mumbai,293785
Water Heaters,10-01-2016,Mumbai,757414
Water Heaters,11-01-2016,Mumbai,620488
Water Heaters,12-01-2016,Mumbai,644072
Water Heaters,01-01-2017,Mumbai,209319
Water Heaters,02-01-2017,Mumbai,57235
Water Heaters,03-01-2017,Mumbai,35476
Water Heaters,04-01-2017,Mumbai,20006
Water Heaters,05-01-2017,Mumbai,232578
Water Heaters,06-01-2017,Mumbai,763177
Water Heaters,07-01-2017,Mumbai,1489955
Water Heaters,08-01-2017,Mumbai,1236263
Water Heaters,09-01-2017,Mumbai,1263275
Water Heaters,10-01-2017,Mumbai,3256885
Water Heaters,11-01-2017,Mumbai,2668102
Water Heaters,12-01-2017,Mumbai,2769512
Water Heaters,01-01-2018,Mumbai,900074
Water Heaters,02-01-2018,Mumbai,246109
Water Heaters,03-01-2018,Mumbai,152547
FoodProcessor,04-01-2014,Mumbai,2011087
FoodProcessor,05-01-2014,Mumbai,2900733
FoodProcessor,06-01-2014,Mumbai,2201220
FoodProcessor,07-01-2014,Mumbai,2779964
FoodProcessor,08-01-2014,Mumbai,2950585
FoodProcessor,09-01-2014,Mumbai,3510509
FoodProcessor,10-01-2014,Mumbai,3251296
FoodProcessor,11-01-2014,Mumbai,1639833
FoodProcessor,12-01-2014,Mumbai,3101340
FoodProcessor,01-01-2015,Mumbai,3035344
FoodProcessor,02-01-2015,Mumbai,2459592
FoodProcessor,03-01-2015,Mumbai,3785821
FoodProcessor,04-01-2015,Mumbai,1221106
FoodProcessor,05-01-2015,Mumbai,1457168
FoodProcessor,06-01-2015,Mumbai,814672
FoodProcessor,07-01-2015,Mumbai,1326255
FoodProcessor,08-01-2015,Mumbai,1249196
FoodProcessor,09-01-2015,Mumbai,1281632
FoodProcessor,10-01-2015,Mumbai,1824830
FoodProcessor,11-01-2015,Mumbai,989735
FoodProcessor,12-01-2015,Mumbai,1448706
FoodProcessor,01-01-2016,Mumbai,1087698
FoodProcessor,02-01-2016,Mumbai,1100520
FoodProcessor,03-01-2016,Mumbai,2055781
FoodProcessor,04-01-2016,Mumbai,1778922
FoodProcessor,05-01-2016,Mumbai,1090111
FoodProcessor,06-01-2016,Mumbai,615009
FoodProcessor,07-01-2016,Mumbai,1154624
FoodProcessor,08-01-2016,Mumbai,1244329
FoodProcessor,09-01-2016,Mumbai,1585239
FoodProcessor,10-01-2016,Mumbai,1613479
FoodProcessor,11-01-2016,Mumbai,681321
FoodProcessor,12-01-2016,Mumbai,901294
FoodProcessor,01-01-2017,Mumbai,1217549
FoodProcessor,02-01-2017,Mumbai,1127891
FoodProcessor,03-01-2017,Mumbai,1755622
