Country,Year,Life Ladder,Log GDP,Social support,Life Expectancy,Choice Freedom,Generosity,Corruption,Positive affect,Negative affect,Government confidence,Population
Afghanistan,2015,3.9828546047210693,7.63446569442749,0.5285972356796265,52.599998474121094,0.3889275789260864,0.08508207648992538,0.8806383013725281,0.49140995740890503,0.3392760455608368,0.2605571448802948,34413603
Afghanistan,2016,4.220168590545654,7.629036903381348,0.5590717792510986,52.92499923706055,0.5225661993026733,0.04748822748661041,0.7932455539703369,0.5014087557792664,0.3483322858810425,0.32498955726623535,35383028
Afghanistan,2017,2.6617181301116943,7.6296844482421875,0.4908800721168518,53.25,0.4270108640193939,-0.11606846749782562,0.9543925523757935,0.43526995182037354,0.37132617831230164,0.26117852330207825,36296111
Afghanistan,2018,2.694303274154663,7.617663383483887,0.5075158476829529,53.57500076293945,0.37353554368019104,-0.0881245955824852,0.9276056885719299,0.3845614790916443,0.40490439534187317,0.3646664023399353,37171922
Afghanistan,2019,2.375091791152954,7.632903099060059,0.41997286677360535,53.900001525878906,0.3936561644077301,-0.10346651822328568,0.9238491058349609,0.324107825756073,0.5024737119674683,0.3414822220802307,38041757
Albania,2015,4.6066508293151855,9.382481575012207,0.6393561363220215,69.0,0.7038506865501404,-0.08060858398675919,0.8847930431365967,0.5790717005729675,0.35042667388916016,0.5069783926010132,2880703
Albania,2016,4.511100769042969,9.416692733764648,0.6384114623069763,69.0250015258789,0.7298189401626587,-0.016784198582172394,0.901070773601532,0.5670797228813171,0.32170599699020386,0.40090981125831604,2876101
Albania,2017,4.639548301696777,9.454930305480957,0.6376982927322388,69.05000305175781,0.7496110200881958,-0.028629375621676445,0.8761346340179443,0.5472404360771179,0.3338841199874878,0.457737535238266,2873457
Albania,2018,5.0044026374816895,9.496804237365723,0.6835916638374329,69.07499694824219,0.8242123126983643,0.00906998198479414,0.8991293907165527,0.5920446515083313,0.31899672746658325,0.43533796072006226,2866376
Albania,2019,4.9953179359436035,9.521978378295898,0.6863648891448975,69.0999984741211,0.777351438999176,-0.09905756264925003,0.9142842888832092,0.5481892824172974,0.27382737398147583,0.33662787079811096,2854191
Argentina,2015,6.6971306800842285,10.083050727844238,0.9264922738075256,66.9000015258789,0.8812236785888672,-0.17574644088745117,0.8509061932563782,0.7678452730178833,0.30535492300987244,0.3781692385673523,43131966
